rank,id,name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
159,208313590,Jack メ Mengocok,0,221.29M,27.54M,37.31K,17.54M,2.03M,2.64M
160,208622212,Ulvsbane,0,21.14M,35.35M,2.80M,1.52M,250.03K,2.13M
161,208756315,24 X҉  A Phàm,0,56.33M,25.58M,448.61K,3.40M,1.08M,4.14M
162,208850800,24 X҉ 도주이득,0,71.25M,27.74M,2.39M,4.71M,505.35K,1.26M
163,209294221,24X҉AlphaWolf,0,49.63M,49.75M,2.47M,3.36M,533.80K,2.38M
164,209321704,HOTBEAST,0,41.99M,33.42M,6.64M,2.82M,0,384.94K
165,209322462,ˣPoseidon,0,18.52M,29.06M,4.03M,826.08K,21.57K,1.19M
166,209482763,Éléna,0,44.71M,30.63M,1.83M,2.79M,627.03K,2.64M
167,209502334,24 X҉WilliamQ8,0,36.62M,45.57M,6.27M,2.76M,307.39K,1.09M
168,209531678,Crisssss,0,53.36M,34.43M,4.96M,3.14M,1.09M,1.00M
169,209607393,柱 VeNdDeTtA,0,122.67M,40.87M,7.58M,8.35M,1.84M,1.94M
170,209619554,ᴹᴰDoC OcK,0,109.22M,40.98M,448.09K,8.23M,1.18M,2.96M
171,209620976,SUPERMANx,0,13.43M,31.96M,6.44M,981.03K,96.91K,841.72K
172,209829051,24 X҉ Hexxy,0,49.43M,25.21M,3.70M,3.89M,455.78K,79.30K
173,209837031,24 X҉  ЫЫЫ,0,18.49M,28.02M,4.81M,1.20M,180.61K,699.09K
174,209905081,24X҉  TolganaC,0,62.35M,40.54M,2.34M,5.23M,270.13K,2.19M
175,209924348,24 X҉ Fuzjaaa,0,23.95M,29.15M,2.94M,1.61M,266.26K,1.10M
176,209926937,우라차차,0,1.79M,29.50M,4.82M,21.17K,44.41K,968.49K
177,210190324,Legend68,0,10.16M,29.94M,11.55K,751.35K,70.82K,1.38M
178,210210393,Zhâk,0,24.97M,29.42M,6.79M,1.71M,95.36K,171.72K
179,210254146,Алекс 2909,0,32.87M,32.95M,5.06M,2.70M,126.58K,1.16M
180,210272139,Inf1n1ty,0,148.54M,30.62M,3.94M,11.60M,1.03M,1.45M
181,210313245,24 X҉ ヅÖrökヅ,0,24.46M,27.38M,1.70M,1.86M,219.89K,1.12M
182,210376950,NightStarr,0,12.82M,26.56M,5.68M,1.08M,73.03K,240.76K
183,210490061,24 X҉ DuMuc,0,31.40M,29.51M,1.63M,2.36M,288.83K,2.64M
184,210876904,Slim 15,0,34.95M,28.91M,6.21M,3.13M,79.83K,542.60K
185,211557716,ᴰᴾCyanide,0,41.20M,25.45M,4.28M,2.95M,300.61K,1.49M
